text_en,text_de,requires_letter
Starts with letter {letter},Beginnt mit dem Buchstaben {letter},1
Ends with letter {letter},Endet mit dem Buchstaben {letter},1
Contains letter {letter},Enthält den Buchstaben {letter},1
Has exactly two syllables,Hat genau zwei Silben,0
Has at least three syllables,Hat mindestens drei Silben,0
Has no repeated letters,Hat keinen doppelten Buchstaben,0
Has at most five letters,Hat höchstens fünf Buchstaben,0
Has at least eight letters,Hat mindestens acht Buchstaben,0
Contains exactly one vowel,Enthält genau einen Vokal,0
Contains at least two vowels,Enthält mindestens zwei Vokale,0
